,Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
2240,BTC,5/1/2020,8206.806366,8501.644603,8501.646489,8036.885907
2241,BTC,5/2/2020,8119.488536,8206.810043,8206.810043,7989.922628
2242,BTC,5/3/2020,8075.843174,8120.484444,8216.619589,8030.097727
2243,BTC,5/4/2020,7613.740574,8075.840561,8119.113996,7421.281322
2244,BTC,5/5/2020,7263.110535,7619.579413,7718.802088,6805.143065
2245,BTC,5/6/2020,7304.405759,7263.127934,7355.862635,7095.975791
2246,BTC,5/7/2020,7042.732936,7304.414265,7339.698677,6921.631497
2247,BTC,5/8/2020,7212.861809,6895.651354,7369.147389,6525.552859
2248,BTC,5/9/2020,7142.069449,7212.870983,7337.30101,7013.057702
2249,BTC,5/10/2020,7524.480673,7142.075509,7661.64037,6852.62293
2250,BTC,5/11/2020,7391.207469,7524.472887,7648.518089,7380.309918
2251,BTC,5/12/2020,7730.265939,7391.210656,7857.607906,7379.405543
2252,BTC,5/13/2020,7543.235609,7749.335487,7806.029322,7440.098867
2253,BTC,5/14/2020,7382.963008,7543.245344,7565.940079,7239.322233
2254,BTC,5/15/2020,7334.43293,7382.962005,7441.615736,7163.492125
2255,BTC,5/16/2020,7316.367765,7316.439203,7408.410775,7239.730592
2256,BTC,5/17/2020,7214.733762,7316.369274,7768.908725,7090.141289
2257,BTC,5/18/2020,7399.78705,7214.743416,7489.137772,7156.119946
2258,BTC,5/19/2020,7512.880583,7393.910937,7584.387456,7305.070441
2259,BTC,5/20/2020,7533.123513,7512.884605,7620.666018,7476.015594
2260,BTC,5/21/2020,7551.2392,7533.123513,7574.156018,7388.154016
2261,BTC,5/22/2020,7334.096043,7551.238815,7653.742606,7286.227768
2262,BTC,5/23/2020,7240.762575,7334.095889,7395.504676,7162.527291
2263,BTC,5/24/2020,7199.066677,7241.078227,7270.474391,7132.644054
2264,BTC,5/25/2020,7191.272369,7204.956606,7283.336143,7082.880221
2265,BTC,5/26/2020,7239.874323,7189.071895,7298.588894,7184.201754
2266,BTC,5/27/2020,7088.024985,7239.993089,7272.571184,7008.426923
2267,BTC,5/28/2020,7113.731476,7088.024958,7199.32384,7008.558814
2268,BTC,5/29/2020,6884.496394,7113.504977,7140.580243,6829.479448
2269,BTC,5/30/2020,6585.028843,6885.661554,6934.741179,6566.009645
2270,BTC,5/31/2020,7425.0154,6585.030424,7425.06403,6428.959386
2271,BTC,6/1/2020,7148.568324,7286.122044,7368.158856,7044.162249
2272,BTC,6/2/2020,7140.933371,7148.569001,7178.392151,7077.11104
2273,BTC,6/3/2020,7287.335081,7156.213175,7329.930813,7123.024233
2274,BTC,6/4/2020,7237.986205,7287.33631,7357.640519,7084.734726
2275,BTC,6/5/2020,7167.172379,7237.986086,7499.797304,7128.936255
2276,BTC,6/6/2020,7236.62665,7167.173045,7293.006736,7046.122915
2277,BTC,6/7/2020,7213.809395,7236.623582,7278.804111,7121.21395
2278,BTC,6/8/2020,7184.706536,7213.808361,7428.47228,7106.723864
2279,BTC,6/9/2020,7228.293712,7184.706083,7252.381246,7066.278308
2280,BTC,6/10/2020,7312.560644,7228.294388,7349.789794,7218.079597
2281,BTC,6/11/2020,7386.464848,7316.151548,7521.637034,7273.593791
2282,BTC,6/12/2020,7252.276794,7380.157881,7397.603322,7203.130766
2283,BTC,6/13/2020,7180.957819,7252.277888,7299.892042,7120.626946
2284,BTC,6/14/2020,7175.744012,7180.957689,7238.014866,7153.992402
2285,BTC,6/15/2020,6956.48758,7175.712357,7191.188749,6915.857474
2286,BTC,6/16/2020,7292.219505,6956.48758,7391.041835,6853.093401
2287,BTC,6/17/2020,7338.63667,7292.217504,7391.762935,7264.178696
2288,BTC,6/18/2020,7348.433264,7338.421391,7488.333871,7317.76337
2289,BTC,6/19/2020,7714.860754,7352.57889,7750.648613,7340.702523
2290,BTC,6/20/2020,8040.603701,7715.908484,8193.158877,7709.885351
2291,BTC,6/21/2020,8068.606369,8047.802943,8464.183418,7872.035499
2292,BTC,6/22/2020,7809.701364,8047.111529,8047.283882,7756.401227
2293,BTC,6/23/2020,8088.452885,7809.703733,8137.499126,7671.457792
2294,BTC,6/24/2020,8079.993532,8196.475999,8279.66058,8009.905117
2295,BTC,6/25/2020,8150.313717,8081.229614,8189.385802,7960.533522
2296,BTC,6/26/2020,8117.961008,8151.807336,8192.187715,8036.31553
2297,BTC,6/27/2020,8736.142439,8111.511235,8849.921995,8109.954039
2298,BTC,6/28/2020,8844.675732,8736.148417,8898.643793,8559.744377
2299,BTC,6/29/2020,8712.637578,8826.385428,8856.530135,8588.518351
2300,BTC,6/30/2020,8926.299028,8712.637311,9010.5337,8666.011538
2301,BTC,7/1/2020,8940.8643,8926.303486,8972.890632,8804.094435
2302,BTC,7/2/2020,8639.18144,8940.879994,9182.972791,8456.129028
2303,BTC,7/3/2020,8653.683763,8639.182713,8740.353819,8503.570319
2304,BTC,7/4/2020,8709.786013,8653.682469,8784.7501,8487.340457
2305,BTC,7/5/2020,8636.074357,8709.835222,8798.773614,8576.103286
2306,BTC,7/6/2020,8385.088777,8636.074108,8666.272406,8278.809127
2307,BTC,7/7/2020,8452.232296,8382.599774,8513.454207,8221.867389
2308,BTC,7/8/2020,8348.567505,8452.232129,8459.283993,8257.043067
2309,BTC,7/9/2020,8563.30747,8348.569951,8598.904143,8283.358307
2310,BTC,7/10/2020,8882.962391,8563.307388,8983.03544,8555.125634
2311,BTC,7/11/2020,9132.114988,8878.733617,9177.388648,8875.284819
2312,BTC,7/12/2020,9321.978406,9132.114653,9433.677487,9105.824063
2313,BTC,7/13/2020,9546.077957,9289.522646,9634.251035,9186.18134
2314,BTC,7/14/2020,9389.880752,9549.545376,9559.432613,9199.659041
2315,BTC,7/15/2020,9364.193383,9389.87907,9452.06458,9285.410559
2316,BTC,7/16/2020,9386.260386,9376.226831,9466.487907,9151.534573
